DATE,TIME,CH4 (ppm),CO2 (ppm),H2O (%),N2O (ppm),NH3 (ppb),Date_time
6/02/2024,5:10:00,1.89,415.7,1.21,,1.12,6/02/2024 5:10
6/02/2024,6:09:59,1.96,415.0,1.24,,1.11,6/02/2024 6:09
6/02/2024,7:10:01,1.91,411.2,1.34,,1.18,6/02/2024 7:10
6/02/2024,8:09:58,1.81,411.6,1.43,,1.18,6/02/2024 8:09
6/02/2024,9:09:59,1.81,408.4,1.45,,1.14,6/02/2024 9:09
6/02/2024,10:10:01,1.81,405.8,1.47,,1.15,6/02/2024 10:10
6/02/2024,11:10:03,1.80,404.1,1.50,,1.15,6/02/2024 11:10
6/02/2024,12:10:03,1.79,403.2,1.51,,1.13,6/02/2024 12:10
6/02/2024,13:10:05,1.79,402.9,1.53,,1.14,6/02/2024 13:10
6/02/2024,14:10:07,1.79,402.6,1.57,,1.16,6/02/2024 14:10
6/02/2024,15:10:10,1.79,402.8,1.60,,1.19,6/02/2024 15:10
6/02/2024,16:10:10,1.79,403.0,1.60,,1.17,6/02/2024 16:10
6/02/2024,17:10:12,1.80,404.8,1.61,,1.13,6/02/2024 17:10
6/02/2024,18:10:15,1.81,407.5,1.56,,1.09,6/02/2024 18:10
6/02/2024,19:10:15,1.81,407.2,1.47,,1.07,6/02/2024 19:10
6/02/2024,20:10:16,1.80,405.4,1.41,,1.05,6/02/2024 20:10
6/02/2024,21:10:14,1.81,405.8,1.38,,1.03,6/02/2024 21:10
6/02/2024,22:10:15,1.81,405.7,1.39,,1.04,6/02/2024 22:10
6/02/2024,23:10:16,1.81,406.4,1.35,,1.02,6/02/2024 23:10
7/02/2024,0:10:15,1.82,407.5,1.32,,1.02,7/02/2024 0:10
7/02/2024,1:10:18,1.83,408.8,1.34,,1.01,7/02/2024 1:10
7/02/2024,2:10:21,1.84,409.4,1.33,,1.01,7/02/2024 2:10
7/02/2024,3:10:20,1.91,418.5,1.36,,1.07,7/02/2024 3:10
7/02/2024,4:10:24,2.00,429.1,1.43,,1.07,7/02/2024 4:10
7/02/2024,5:10:24,2.02,430.9,1.44,,1.09,7/02/2024 5:10
7/02/2024,6:10:24,1.87,413.9,1.34,,1.02,7/02/2024 6:10
7/02/2024,7:10:27,1.81,408.3,1.31,,1.03,7/02/2024 7:10
7/02/2024,8:10:31,1.80,407.2,1.27,,1.01,7/02/2024 8:10
7/02/2024,9:10:33,1.80,406.8,1.29,,1.01,7/02/2024 9:10
7/02/2024,10:10:33,1.80,405.9,1.35,,1.05,7/02/2024 10:10
7/02/2024,11:10:34,1.79,404.8,1.40,,1.09,7/02/2024 11:10
7/02/2024,12:10:35,1.79,405.1,1.38,,1.08,7/02/2024 12:10
7/02/2024,13:10:34,1.79,405.8,1.37,,1.10,7/02/2024 13:10
7/02/2024,14:10:35,1.79,404.9,1.37,,1.11,7/02/2024 14:10
7/02/2024,15:10:37,1.79,405.4,1.34,,1.10,7/02/2024 15:10
7/02/2024,16:10:33,1.80,405.8,1.31,,1.10,7/02/2024 16:10
7/02/2024,17:10:38,1.80,407.1,1.28,,1.09,7/02/2024 17:10
7/02/2024,18:10:39,1.80,407.6,1.26,,1.09,7/02/2024 18:10
7/02/2024,19:10:39,1.81,409.0,1.27,,1.09,7/02/2024 19:10
7/02/2024,20:10:37,1.84,412.5,1.28,,1.09,7/02/2024 20:10
7/02/2024,21:10:39,1.95,420.4,1.31,,1.09,7/02/2024 21:10
7/02/2024,22:10:38,1.93,419.8,1.32,,1.10,7/02/2024 22:10
7/02/2024,23:10:39,1.99,423.2,1.33,,1.10,7/02/2024 23:10
8/02/2024,0:10:38,2.06,426.5,1.34,,1.10,8/02/2024 0:10
8/02/2024,1:10:38,2.13,424.9,1.32,,1.08,8/02/2024 1:10
8/02/2024,2:10:43,2.03,425.8,1.31,,1.10,8/02/2024 2:10
8/02/2024,3:10:45,2.11,427.8,1.29,,1.08,8/02/2024 3:10
8/02/2024,4:10:48,2.05,429.2,1.27,,1.07,8/02/2024 4:10
8/02/2024,5:10:50,2.05,429.6,1.27,,1.12,8/02/2024 5:10
8/02/2024,6:10:48,2.02,425.2,1.28,,1.15,8/02/2024 6:10
8/02/2024,7:10:52,2.00,423.5,1.33,,1.18,8/02/2024 7:10
8/02/2024,8:10:55,1.95,415.4,1.39,,1.22,8/02/2024 8:10
8/02/2024,9:10:57,1.82,412.3,1.44,,1.20,8/02/2024 9:10
8/02/2024,10:10:57,1.81,408.5,1.52,,1.18,8/02/2024 10:10
8/02/2024,11:10:58,1.80,406.6,1.54,,1.15,8/02/2024 11:10
8/02/2024,12:10:57,1.81,406.1,1.56,,1.12,8/02/2024 12:10
8/02/2024,13:10:56,1.80,404.7,1.61,,1.14,8/02/2024 13:10
8/02/2024,14:11:01,1.80,405.3,1.61,,1.13,8/02/2024 14:11
8/02/2024,15:10:59,1.79,404.5,1.63,,1.14,8/02/2024 15:10
8/02/2024,16:11:01,1.79,404.5,1.64,,1.13,8/02/2024 16:11
8/02/2024,17:11:01,1.79,403.8,1.70,,1.14,8/02/2024 17:11
8/02/2024,18:11:00,1.80,404.6,1.65,,1.11,8/02/2024 18:11
8/02/2024,19:11:05,1.80,405.1,1.65,,1.10,8/02/2024 19:11
8/02/2024,20:11:06,1.81,406.4,1.69,,1.11,8/02/2024 20:11
8/02/2024,21:11:08,1.81,406.6,1.77,,1.11,8/02/2024 21:11
8/02/2024,22:11:11,1.81,405.6,1.79,,1.11,8/02/2024 22:11
8/02/2024,23:11:12,1.81,404.8,1.89,,1.13,8/02/2024 23:11
9/02/2024,0:11:16,1.81,403.1,1.91,,1.12,9/02/2024 0:11
9/02/2024,1:11:14,1.82,405.7,1.82,,1.07,9/02/2024 1:11
9/02/2024,2:11:16,1.83,406.7,1.77,,1.07,9/02/2024 2:11
9/02/2024,3:11:20,1.81,404.6,1.60,,1.00,9/02/2024 3:11
9/02/2024,4:11:25,1.81,405.5,1.52,,0.96,9/02/2024 4:11
9/02/2024,5:11:25,1.82,406.7,1.56,,0.98,9/02/2024 5:11
9/02/2024,6:11:26,1.81,405.4,1.64,,1.02,9/02/2024 6:11
9/02/2024,7:11:27,1.81,405.7,1.62,,1.01,9/02/2024 7:11
9/02/2024,8:11:29,1.80,404.5,1.72,,1.03,9/02/2024 8:11
9/02/2024,9:11:33,1.80,402.4,1.55,,0.96,9/02/2024 9:11
9/02/2024,10:11:34,1.79,402.6,1.38,,0.91,9/02/2024 10:11
9/02/2024,11:11:34,1.79,402.2,1.44,,0.96,9/02/2024 11:11
9/02/2024,12:11:34,1.79,402.3,1.43,,0.98,9/02/2024 12:11
9/02/2024,13:11:35,1.79,402.7,1.40,,0.96,9/02/2024 13:11
9/02/2024,14:11:34,1.79,402.9,1.43,,1.00,9/02/2024 14:11
9/02/2024,15:11:39,1.79,402.7,1.48,,1.03,9/02/2024 15:11
9/02/2024,16:11:36,1.79,402.9,1.53,,1.08,9/02/2024 16:11
9/02/2024,17:11:38,1.79,403.5,1.61,,1.12,9/02/2024 17:11
9/02/2024,18:11:38,1.79,404.5,1.65,,1.12,9/02/2024 18:11
9/02/2024,19:11:39,1.80,405.2,1.78,,1.15,9/02/2024 19:11
9/02/2024,20:11:42,1.79,405.0,1.65,,1.09,9/02/2024 20:11
9/02/2024,21:11:43,1.80,406.0,1.63,,1.09,9/02/2024 21:11
9/02/2024,22:11:47,1.80,406.2,1.61,,1.08,9/02/2024 22:11
9/02/2024,23:11:49,1.81,407.4,1.53,,1.04,9/02/2024 23:11
10/02/2024,0:11:49,1.82,408.0,1.45,,1.01,10/02/2024 0:11
10/02/2024,1:11:48,1.85,410.9,1.40,,1.00,10/02/2024 1:11
10/02/2024,2:11:47,1.86,413.9,1.41,,0.99,10/02/2024 2:11
10/02/2024,3:11:48,1.92,421.2,1.43,,1.00,10/02/2024 3:11
10/02/2024,4:11:48,2.00,424.4,1.42,,1.00,10/02/2024 4:11
10/02/2024,5:11:51,2.18,423.0,1.43,,1.01,10/02/2024 5:11
10/02/2024,6:11:54,2.09,421.6,1.48,,1.03,10/02/2024 6:11
10/02/2024,7:11:55,1.89,414.4,1.46,,1.04,10/02/2024 7:11
10/02/2024,8:11:57,1.82,411.0,1.43,,1.00,10/02/2024 8:11
10/02/2024,9:11:53,1.81,409.7,1.42,,1.00,10/02/2024 9:11
10/02/2024,10:11:56,1.81,409.5,1.42,,1.01,10/02/2024 10:11
10/02/2024,11:11:54,1.80,408.1,1.49,,1.06,10/02/2024 11:11
10/02/2024,12:11:58,1.80,407.1,1.51,,1.07,10/02/2024 12:11
10/02/2024,13:12:00,1.79,405.6,1.52,,1.07,10/02/2024 13:12
10/02/2024,14:12:00,1.79,405.3,1.53,,1.08,10/02/2024 14:12
10/02/2024,15:12:00,1.79,405.6,1.50,,1.09,10/02/2024 15:12
10/02/2024,16:12:03,1.79,405.8,1.48,,1.08,10/02/2024 16:12
10/02/2024,17:12:04,1.79,407.1,1.47,,1.09,10/02/2024 17:12
10/02/2024,18:12:04,1.79,409.5,1.49,,1.09,10/02/2024 18:12
10/02/2024,19:12:06,1.80,414.7,1.52,,1.07,10/02/2024 19:12
10/02/2024,20:12:05,1.81,414.4,1.59,,1.11,10/02/2024 20:12
10/02/2024,21:12:08,1.80,414.9,1.66,,1.12,10/02/2024 21:12
10/02/2024,22:12:13,1.80,409.9,1.70,,1.12,10/02/2024 22:12
10/02/2024,23:12:13,1.80,412.6,1.74,,1.14,10/02/2024 23:12
11/02/2024,0:12:12,1.87,416.6,1.73,,1.12,11/02/2024 0:12
11/02/2024,1:12:17,1.89,422.7,1.73,,1.11,11/02/2024 1:12
11/02/2024,2:12:18,1.95,434.6,1.72,,1.10,11/02/2024 2:12
11/02/2024,3:12:20,2.11,450.8,1.72,,1.10,11/02/2024 3:12
11/02/2024,4:12:19,2.23,461.4,1.70,,1.08,11/02/2024 4:12
11/02/2024,5:12:22,2.40,471.3,1.73,,1.11,11/02/2024 5:12
11/02/2024,6:12:24,2.01,431.1,1.75,,1.10,11/02/2024 6:12
11/02/2024,7:12:26,1.82,424.9,1.63,,1.02,11/02/2024 7:12
11/02/2024,8:12:25,1.80,420.5,1.63,,1.02,11/02/2024 8:12
11/02/2024,9:12:29,1.80,414.8,1.66,,1.02,11/02/2024 9:12
11/02/2024,10:12:33,1.81,413.4,1.68,,1.03,11/02/2024 10:12
11/02/2024,11:12:31,1.81,410.0,1.75,,1.07,11/02/2024 11:12
11/02/2024,12:12:33,1.81,405.7,1.82,,1.08,11/02/2024 12:12
11/02/2024,13:12:36,1.80,403.0,1.82,,1.09,11/02/2024 13:12
11/02/2024,14:12:35,1.79,402.6,1.85,,1.15,11/02/2024 14:12
11/02/2024,15:12:34,1.79,401.8,1.94,,1.17,11/02/2024 15:12
11/02/2024,16:12:35,1.78,401.4,2.03,,1.24,11/02/2024 16:12
11/02/2024,17:12:35,1.78,401.9,2.08,,1.23,11/02/2024 17:12
11/02/2024,18:12:36,1.78,404.1,2.02,,1.18,11/02/2024 18:12
11/02/2024,19:12:38,1.78,406.6,2.00,,1.16,11/02/2024 19:12
11/02/2024,20:12:40,1.79,409.7,2.01,,1.14,11/02/2024 20:12
11/02/2024,21:12:40,1.80,416.5,2.02,,1.15,11/02/2024 21:12
11/02/2024,22:12:40,1.82,419.7,2.05,,1.15,11/02/2024 22:12
11/02/2024,23:12:42,1.83,423.4,2.08,,1.15,11/02/2024 23:12
12/02/2024,0:12:44,1.84,431.5,2.07,,1.12,12/02/2024 0:12
12/02/2024,1:12:47,1.86,435.8,2.07,,1.12,12/02/2024 1:12
12/02/2024,2:12:47,1.87,445.4,2.05,,1.10,12/02/2024 2:12
12/02/2024,3:12:51,1.90,452.8,2.04,,1.10,12/02/2024 3:12
12/02/2024,4:12:50,1.92,450.6,2.03,,1.08,12/02/2024 4:12
12/02/2024,5:12:54,1.98,445.1,2.07,,1.10,12/02/2024 5:12
12/02/2024,6:12:56,1.95,434.0,2.10,,1.09,12/02/2024 6:12
12/02/2024,7:12:57,1.88,425.9,2.07,,1.08,12/02/2024 7:12
12/02/2024,8:12:59,1.86,420.8,2.11,,1.09,12/02/2024 8:12
12/02/2024,9:13:00,1.83,414.1,2.10,,1.07,12/02/2024 9:13
12/02/2024,10:13:03,1.84,410.9,2.11,,1.08,12/02/2024 10:13
12/02/2024,11:13:06,1.86,412.2,2.18,,1.12,12/02/2024 11:13
12/02/2024,12:13:08,1.83,410.2,2.12,,1.12,12/02/2024 12:13
12/02/2024,13:13:07,1.81,406.1,2.05,,1.12,12/02/2024 13:13
12/02/2024,14:13:08,1.81,406.8,2.12,,1.17,12/02/2024 14:13
12/02/2024,15:13:11,1.83,412.6,2.29,,1.23,12/02/2024 15:13
12/02/2024,16:13:14,1.84,413.0,2.26,,1.19,12/02/2024 16:13
12/02/2024,17:13:15,1.80,408.2,2.08,,1.12,12/02/2024 17:13
12/02/2024,18:13:13,1.80,411.7,2.08,,1.14,12/02/2024 18:13
12/02/2024,19:13:18,1.81,418.6,2.09,,1.15,12/02/2024 19:13
12/02/2024,20:13:16,1.82,430.8,2.12,,1.17,12/02/2024 20:13
12/02/2024,21:13:18,1.87,435.6,2.12,,1.15,12/02/2024 21:13
12/02/2024,22:13:19,1.87,427.5,2.09,,1.16,12/02/2024 22:13
12/02/2024,23:13:22,1.89,425.5,2.09,,1.13,12/02/2024 23:13
13/02/2024,0:13:26,1.92,434.0,2.07,,1.11,13/02/2024 0:13
13/02/2024,1:13:30,2.05,446.0,2.06,,1.10,13/02/2024 1:13
13/02/2024,2:13:29,2.14,452.0,2.07,,1.10,13/02/2024 2:13
13/02/2024,3:13:34,2.18,453.1,2.00,,1.10,13/02/2024 3:13
13/02/2024,4:13:33,2.23,470.6,1.98,,1.07,13/02/2024 4:13
13/02/2024,5:13:32,2.34,477.4,1.99,,1.07,13/02/2024 5:13
13/02/2024,6:13:33,2.10,448.0,1.92,,1.04,13/02/2024 6:13
13/02/2024,7:13:33,2.02,439.6,1.90,,1.03,13/02/2024 7:13
13/02/2024,8:13:33,1.91,428.2,1.88,,1.03,13/02/2024 8:13
13/02/2024,9:13:35,1.86,419.5,1.84,,1.03,13/02/2024 9:13
13/02/2024,10:13:36,1.83,415.9,1.76,,1.00,13/02/2024 10:13
13/02/2024,11:13:39,1.88,414.5,1.92,,1.07,13/02/2024 11:13
13/02/2024,12:13:39,1.80,403.7,1.98,,1.11,13/02/2024 12:13
13/02/2024,13:13:39,1.79,402.6,1.89,,1.06,13/02/2024 13:13
13/02/2024,14:13:42,1.79,402.0,1.83,,1.06,13/02/2024 14:13
13/02/2024,15:13:40,1.79,402.4,1.82,,1.11,13/02/2024 15:13
13/02/2024,16:13:41,1.79,403.0,1.89,,1.14,13/02/2024 16:13
13/02/2024,17:13:45,1.79,403.9,1.81,,1.11,13/02/2024 17:13
13/02/2024,18:13:44,1.80,404.1,1.79,,1.08,13/02/2024 18:13
13/02/2024,19:13:43,1.80,404.6,1.81,,1.11,13/02/2024 19:13
13/02/2024,20:13:46,1.81,405.2,1.85,,1.14,13/02/2024 20:13
13/02/2024,21:13:47,1.81,405.8,1.83,,1.13,13/02/2024 21:13
13/02/2024,22:13:47,1.82,408.0,1.84,,1.14,13/02/2024 22:13
13/02/2024,23:13:49,1.84,411.1,1.83,,1.14,13/02/2024 23:13
14/02/2024,0:13:52,1.90,417.6,1.81,,1.11,14/02/2024 0:13
14/02/2024,1:13:53,2.02,419.8,1.77,,1.11,14/02/2024 1:13
14/02/2024,2:13:56,2.13,424.1,1.77,,1.11,14/02/2024 2:13
14/02/2024,3:13:54,2.10,427.3,1.75,,1.11,14/02/2024 3:13
14/02/2024,4:13:57,2.19,433.5,1.76,,1.12,14/02/2024 4:13
14/02/2024,5:14:00,2.14,437.7,1.76,,1.13,14/02/2024 5:14
14/02/2024,6:13:57,1.90,428.7,1.79,,1.14,14/02/2024 6:13
14/02/2024,7:14:07,1.83,419.0,1.84,,1.14,14/02/2024 7:14
14/02/2024,8:14:04,1.83,417.1,1.80,,1.15,14/02/2024 8:14
14/02/2024,9:14:06,1.82,415.0,1.82,,1.19,14/02/2024 9:14
14/02/2024,10:14:05,1.82,413.4,1.84,,1.20,14/02/2024 10:14
14/02/2024,11:14:06,1.80,411.0,1.83,,1.22,14/02/2024 11:14
14/02/2024,12:14:09,1.80,411.5,1.83,,1.24,14/02/2024 12:14
14/02/2024,13:14:09,1.80,412.5,1.79,,1.19,14/02/2024 13:14
14/02/2024,14:14:12,1.81,413.6,1.74,,1.15,14/02/2024 14:14
14/02/2024,15:14:11,1.81,414.9,1.72,,1.17,14/02/2024 15:14
14/02/2024,16:14:10,1.81,415.9,1.71,,1.19,14/02/2024 16:14
14/02/2024,17:14:16,1.82,418.7,1.71,,1.15,14/02/2024 17:14
14/02/2024,18:14:15,1.82,419.8,1.72,,1.18,14/02/2024 18:14
14/02/2024,19:14:21,1.82,419.9,1.72,,1.21,14/02/2024 19:14
14/02/2024,20:14:20,1.89,423.4,1.74,,1.18,14/02/2024 20:14
14/02/2024,21:14:26,2.03,428.2,1.86,,1.24,14/02/2024 21:14
14/02/2024,22:14:23,1.87,423.5,1.93,,1.25,14/02/2024 22:14
14/02/2024,23:14:25,1.88,425.7,1.95,,1.25,14/02/2024 23:14
15/02/2024,0:14:29,1.92,426.7,1.98,,1.26,15/02/2024 0:14
15/02/2024,1:14:32,2.00,432.1,1.98,,1.23,15/02/2024 1:14
15/02/2024,2:14:33,2.06,435.2,2.02,,1.24,15/02/2024 2:14
15/02/2024,3:14:33,2.18,437.6,2.03,,1.25,15/02/2024 3:14
15/02/2024,4:14:34,2.12,438.5,2.05,,1.24,15/02/2024 4:14
15/02/2024,5:14:36,1.98,435.1,2.10,,1.25,15/02/2024 5:14
15/02/2024,6:14:38,2.12,447.6,2.12,,1.24,15/02/2024 6:14
15/02/2024,7:14:39,2.11,443.7,2.10,,1.24,15/02/2024 7:14
15/02/2024,8:14:40,2.01,432.4,2.16,,1.24,15/02/2024 8:14
15/02/2024,9:14:40,1.96,427.6,2.18,,1.23,15/02/2024 9:14
15/02/2024,10:14:43,1.92,418.5,2.14,,1.22,15/02/2024 10:14
15/02/2024,11:14:46,1.88,413.2,2.13,,1.21,15/02/2024 11:14
15/02/2024,12:14:49,1.84,406.7,2.09,,1.19,15/02/2024 12:14
15/02/2024,13:14:47,1.80,401.5,2.15,,1.22,15/02/2024 13:14
15/02/2024,14:14:49,1.79,400.5,2.18,,1.21,15/02/2024 14:14
15/02/2024,15:14:53,1.79,402.0,2.24,,1.24,15/02/2024 15:14
15/02/2024,16:14:52,1.79,402.8,2.26,,1.24,15/02/2024 16:14
15/02/2024,17:14:53,1.79,403.8,2.31,,1.24,15/02/2024 17:14
15/02/2024,18:14:52,1.78,404.1,2.32,,1.26,15/02/2024 18:14
15/02/2024,19:14:57,1.78,403.8,2.34,,1.28,15/02/2024 19:14
15/02/2024,20:14:59,1.78,407.2,2.32,,1.27,15/02/2024 20:14
15/02/2024,21:15:01,1.80,411.2,2.30,,1.27,15/02/2024 21:15
15/02/2024,22:15:02,1.79,413.2,2.34,,1.29,15/02/2024 22:15
15/02/2024,23:15:00,1.80,419.1,2.34,,1.29,15/02/2024 23:15
16/02/2024,0:15:03,1.81,414.1,2.33,,1.28,16/02/2024 0:15
16/02/2024,1:15:03,1.80,410.7,2.30,,1.26,16/02/2024 1:15
16/02/2024,2:15:05,1.81,414.2,2.28,,1.24,16/02/2024 2:15
16/02/2024,3:15:09,1.85,415.7,2.26,,1.22,16/02/2024 3:15
16/02/2024,4:15:07,1.96,424.9,2.23,,1.22,16/02/2024 4:15
16/02/2024,5:15:10,1.94,428.2,2.26,,1.23,16/02/2024 5:15
16/02/2024,6:15:07,1.94,419.4,2.30,,1.25,16/02/2024 6:15
16/02/2024,7:15:10,1.84,412.8,2.23,,1.23,16/02/2024 7:15
16/02/2024,8:15:10,1.91,410.9,2.16,,1.21,16/02/2024 8:15
16/02/2024,9:15:09,1.86,411.2,2.11,,1.23,16/02/2024 9:15
16/02/2024,10:15:13,1.85,411.6,2.05,,1.24,16/02/2024 10:15
16/02/2024,11:15:13,1.84,409.9,2.02,,1.27,16/02/2024 11:15
16/02/2024,12:15:14,1.83,408.6,2.14,,1.39,16/02/2024 12:15
16/02/2024,13:15:16,1.82,408.7,2.12,,1.57,16/02/2024 13:15
16/02/2024,14:15:17,1.82,409.2,2.05,,1.70,16/02/2024 14:15
16/02/2024,15:15:16,1.82,410.2,2.07,,1.94,16/02/2024 15:15
16/02/2024,16:15:19,1.82,410.4,2.04,,2.01,16/02/2024 16:15
16/02/2024,17:15:23,1.81,412.3,2.09,,2.04,16/02/2024 17:15
16/02/2024,18:15:22,1.87,422.8,2.04,,1.99,16/02/2024 18:15
16/02/2024,19:15:18,1.96,432.6,1.97,,1.95,16/02/2024 19:15
16/02/2024,20:15:24,1.85,428.8,2.21,,1.90,16/02/2024 20:15
16/02/2024,21:15:26,1.87,440.1,2.20,,1.85,16/02/2024 21:15
16/02/2024,22:15:25,2.03,459.3,2.16,,1.75,16/02/2024 22:15
16/02/2024,23:15:29,2.15,472.2,2.05,,1.63,16/02/2024 23:15
17/02/2024,0:15:34,2.28,469.3,2.03,,1.61,17/02/2024 0:15
17/02/2024,1:15:32,2.14,457.4,2.17,,1.62,17/02/2024 1:15
17/02/2024,2:15:32,2.05,459.6,2.18,,1.60,17/02/2024 2:15
17/02/2024,3:15:36,1.91,431.3,2.26,,1.62,17/02/2024 3:15
17/02/2024,4:15:35,1.89,418.7,2.27,,1.58,17/02/2024 4:15
17/02/2024,5:15:34,1.89,416.8,2.22,,1.54,17/02/2024 5:15
17/02/2024,6:15:34,1.87,414.8,2.22,,1.49,17/02/2024 6:15
17/02/2024,7:15:33,1.88,417.6,2.21,,1.48,17/02/2024 7:15
17/02/2024,8:15:36,1.85,414.2,2.16,,1.46,17/02/2024 8:15
17/02/2024,9:15:38,1.85,411.6,2.13,,1.45,17/02/2024 9:15
17/02/2024,10:15:41,1.88,413.7,2.09,,1.44,17/02/2024 10:15
17/02/2024,11:15:42,1.87,412.6,2.09,,1.49,17/02/2024 11:15
17/02/2024,12:15:43,1.83,408.6,2.29,,1.59,17/02/2024 12:15
17/02/2024,13:15:43,1.82,409.2,2.29,,1.76,17/02/2024 13:15
17/02/2024,14:15:46,1.80,406.7,2.28,,1.82,17/02/2024 14:15
17/02/2024,15:15:48,1.81,409.0,2.31,,1.84,17/02/2024 15:15
17/02/2024,16:15:51,1.82,413.4,2.26,,1.79,17/02/2024 16:15
17/02/2024,17:15:54,1.88,421.2,2.29,,1.74,17/02/2024 17:15
17/02/2024,18:15:56,1.87,418.1,1.93,,1.50,17/02/2024 18:15
17/02/2024,19:15:57,1.87,422.9,1.71,,1.36,17/02/2024 19:15
17/02/2024,20:15:56,1.91,430.2,1.75,,1.35,17/02/2024 20:15
17/02/2024,21:15:55,1.94,433.5,1.77,,1.35,17/02/2024 21:15
17/02/2024,22:15:57,1.92,428.6,1.74,,1.36,17/02/2024 22:15
17/02/2024,23:15:58,1.93,432.4,1.78,,1.42,17/02/2024 23:15
18/02/2024,0:16:00,2.08,436.0,1.87,,1.52,18/02/2024 0:16
18/02/2024,1:16:03,2.02,425.7,2.00,,1.58,18/02/2024 1:16
18/02/2024,2:16:02,1.85,417.2,1.95,,1.52,18/02/2024 2:16
18/02/2024,3:16:04,1.83,415.9,1.96,,1.53,18/02/2024 3:16
18/02/2024,4:16:03,1.83,415.2,1.98,,1.51,18/02/2024 4:16
18/02/2024,5:16:07,1.83,417.8,2.09,,1.54,18/02/2024 5:16
18/02/2024,6:16:07,1.89,426.8,2.09,,1.52,18/02/2024 6:16
18/02/2024,7:16:10,2.20,465.6,2.05,,1.50,18/02/2024 7:16
18/02/2024,8:16:11,2.06,448.1,2.08,,1.52,18/02/2024 8:16
18/02/2024,9:16:12,1.83,426.1,2.11,,1.54,18/02/2024 9:16
18/02/2024,10:16:12,1.81,421.2,2.13,,1.55,18/02/2024 10:16
